PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
30,19.48,41.87,14988538,41.87069391685,19.47902697975,Albania,,28-5-2012,30,15,Albanian Vegetation Database
62,19.47,41.9,14966937,41.90402725005,19.47069364645,Albania,,30-6-2012,10,15,Albanian Vegetation Database
69,19.45,41.9,14966935,41.90402725005,19.45402697985,Albania,,1-6-2012,3,15,Albanian Vegetation Database
265,20.42,41.23,15404451,41.22902725275,20.42069364265,Albania,,11-7-2013,10,15,Albanian Vegetation Database
270,20.41,41.24,15399050,41.23736058605,20.41236030935,Albania,,11-7-2013,2,15,Albanian Vegetation Database
285,20.39,41.3,15355847,41.30402725245,20.38736030945,Albania,,13-7-2013,15,15,Albanian Vegetation Database
287,20.37,41.28,15372045,41.27902725255,20.37069364285,Albania,,13-7-2013,6,15,Albanian Vegetation Database
288,20.37,41.28,15372045,41.27902725255,20.37069364285,Albania,,13-7-2013,120,15,Albanian Vegetation Database
290,20.38,41.28,15372046,41.27902725255,20.37902697615,Albania,,13-7-2013,20,15,Albanian Vegetation Database
302,20.52,41.15,15453063,41.15402725305,20.52069364225,Albania,,14-7-2013,4,15,Albanian Vegetation Database
316,20.48,41.28,15372058,41.27902725255,20.47902697575,Albania,,16-7-2013,9,15,Albanian Vegetation Database
318,20.48,41.28,15372058,41.27902725255,20.47902697575,Albania,,16-7-2013,30,15,Albanian Vegetation Database
319,20.48,41.28,15372058,41.27902725255,20.47902697575,Albania,,16-7-2013,20,15,Albanian Vegetation Database
326,20.48,41.27,15377458,41.27069391925,20.47902697575,Albania,,20-7-2013,4,15,Albanian Vegetation Database
329,20.48,41.27,15377458,41.27069391925,20.47902697575,Albania,,20-7-2013,3,15,Albanian Vegetation Database
358,20.45,41.21,15415255,41.21236058615,20.45402697585,Albania,,23-7-2013,3,15,Albanian Vegetation Database
362,20.54,41.19,15431465,41.18736058625,20.53736030885,Albania,,24-7-2013,10,15,Albanian Vegetation Database
368,20.55,41.12,15474667,41.12069391985,20.55402697545,Albania,,9-6-2013,10,15,Albanian Vegetation Database
388,20.45,41.33,15339655,41.32902725235,20.45402697585,Albania,,10-6-2013,9,15,Albanian Vegetation Database
389,20.45,41.33,15339655,41.32902725235,20.45402697585,Albania,,10-6-2013,3,15,Albanian Vegetation Database
