SpeciesName,Ellenberg_M
Achillea millefolium,4.2
Agrimonia eupatoria,4
Agrostis capillaris,4.5
Aira praecox,2.3
Ajuga reptans,6.2
Alchemilla vulgaris agg.,5.7
Antennaria dioica,4.2
Anthericum liliago,3
Anthoxanthum odoratum,6
Aquilegia atrata/vulgaris,4
Arabis hirsuta,4.1
Arenaria serpyllifolia,3.8
Arrhenatherum elatius,5
Artemisia campestris,2.5
Asperula cynanchica,3
Astrantia major,6
Avenula pubescens,4
Bellis perennis,5
Brachypodium pinnatum,3.7
Briza media,5
Bromopsis erecta,3.2
Buphthalmum salicifolium,4
Calamagrostis epigejos,7
Calluna vulgaris,6
Campanula glomerata,4
Campanula rotundifolia,4.3
Carduus defloratus,4
Carex arenaria,3.2
Carex caryophyllea,4
Carex flacca,5.9
Carex humilis,2.6
Carex montana,4.4
Carex sempervirens,4
Carlina acaulis,4
Carlina vulgaris,4.6
Carum carvi,5
Centaurea jacea,4
Centaurea scabiosa,3
Cerastium arvense,4
Cerastium fontanum,5
Cerastium semidecandrum,3.3
Cirsium acaulon,3.2
Cladonia furcata,
Clinopodium acinos,2
Clinopodium alpinum,5
Clinopodium vulgare,3.9
Colchicum autumnale,6
Convolvulus arvensis,4
Corynephorus canescens,2.2
Cynosurus cristatus,5
Dactylis glomerata,4.9
Dactylorhiza maculata,7.2
Danthonia decumbens,6
Daucus carota,4
Dianthus carthusianorum,3.2
Dianthus sylvestris,3.5
Echium vulgare,3.8
Erodium cicutarium,3.7
Erophila verna,2.7
Eryngium campestre,3
Euphorbia cyparissias,3
Euphorbia verrucosa,3
Festuca filiformis,3.8
Festuca stricta,NA
Festuca valesiaca,2.3
Filipendula vulgaris,3.5
Fragaria vesca,4.8
Fragaria viridis,3.3
Galium lucidum,3
Galium mollugo,4.2
Galium pumilum,4
Galium verum,4
Gentiana lutea,4.8
Gentiana verna,4
Geranium sylvaticum,5.6
Globularia bisnagarica,NA
Globularia nudicaulis,4
Gymnadenia conopsea,6.3
Helianthemum nummularium,3.3
Helianthemum oelandicum,3
Heracleum sphondylium,5
Hieracium murorum,5
Hippocrepis comosa,2.8
Holcus lanatus,6
Hypericum perforatum,4
Hypnum cupressiforme,4
Hypochaeris radicata,4.3
Jacobaea vulgaris,4
Jasione montana,3.2
Knautia arvensis,3.8
Koeleria macrantha,3.8
Koeleria pyramidata,4.3
Koeleria vallesiana,1
Laserpitium latifolium,5
Lathyrus pratensis,6
Leontodon hispidus,4.5
Leucanthemum vulgare,4
Linum catharticum,5
Lotus corniculatus,4
Luzula campestris,4
Medicago falcata,3
Medicago lupulina,4
Molinia caerulea,7.3
Nardus stricta,7
Neotinea ustulata,4
Neottia ovata,5.8
Onobrychis viciifolia,3.2
Orchis mascula,4.2
Origanum vulgare,3.2
Persicaria vivipara,NA
Phleum phleoides,2.6
Phyteuma orbiculare,4.7
Pilosella officinarum,3.8
Pimpinella major,5.6
Pimpinella saxifraga,3.4
Plantago lanceolata,5
Plantago media,3.9
Poa bulbosa,2.7
Poa pratensis,5
Polygala chamaebuxus,3
Polytrichum piliferum,2
Potentilla erecta,7
Potentilla pusilla,2
Potentilla tabernaemontani,2.7
Primula veris,4
Ranunculus acris,6
Ranunculus bulbosus,3.2
Ranunculus polyanthemos,4.2
Rhinanthus alectorolophus,4
Rhinanthus minor,5
Rubus fruticosus,6
Rumex acetosa,5
Rumex acetosella,4.4
Salvia pratensis,3.3
Sanguisorba minor,3.2
Schedonorus pratensis,5.8
Securigera varia,4
Sedum acre,1.8
Sedum album,2.2
Sedum rupestre,2
Sesleria caerulea,7.5
Silene nutans,3
Silene vulgaris,4
Stachys officinalis,4.8
Stachys recta,3
Stipa pennata,2
Succisa pratensis,7
Teucrium chamaedrys,2
Teucrium montanum,1
Thesium alpinum,4
Thymus praecox,3
Thymus pulegioides,4
Tragopogon pratensis,4
Trifolium arvense,2.7
Trifolium campestre,4
Trifolium medium,4
Trifolium montanum,3
Trifolium pratense,5
Trifolium repens,5
Trisetum flavescens,4
Trollius europaeus,7
Verbascum lychnitis,3
Veronica arvensis,4.3
Veronica chamaedrys,4.8
Veronica officinalis,4.2
Vicia cracca,5.2
Vincetoxicum hirundinaria,3
Viola hirta,3.2
